Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Greedy,2,0.37,0,12,92.67217562878474,50,86.91743598859337,52,470,1.1264057159423828,19
Speedy,2,0.37,0.5,12,111.46059573973713,62,97.90175093031502,64,1743,7.361823558807373,19
Normal,2,0,0,12,107.821284794768,65,98.17095681136308,67,3409,10.255447626113892,19
Spaced,2,0,0.5,12,112.25426104454732,60,99.2996398127931,62,1359,4.623310804367065,19
Greedy,2,0.37,0,12,98.80871386206151,56,91.88600964715228,58,1615,4.2985758781433105,19
Speedy,2,0.37,0.5,12,95.77473058883034,56,90.93078349703156,58,1655,6.735800266265869,19
Normal,2,0,0,12,96.45750734630964,54,89.24114020734375,56,1549,3.3439555168151855,19
Spaced,2,0,0.5,12,100.15067225090668,61,94.2431917681236,63,4171,19.591545581817627,19
Greedy,2,0.37,0,12,96.00633388238178,54,89.99616885511323,56,2519,7.709580421447754,19
Speedy,2,0.37,0.5,12,94.15267497343254,51,84.4974079911724,53,265,1.1197421550750732,19
Normal,2,0,0,12,101.14160684868548,57,92.30091172061321,59,1064,2.45393967628479,19
Spaced,2,0,0.5,12,98.61480557232056,52,89.31546033730748,54,553,2.188009738922119,19
Greedy,2,0.37,0,12,119.21622084570184,70,105.9856552480245,72,4769,20.0847749710083,19
Speedy,2,0.37,0.5,12,107.72379291779373,62,98.86351193997287,64,1727,7.393087148666382,19
Normal,2,0,0,12,95.12560380945058,53,85.46822269790636,55,2044,4.8910534381866455,19
Spaced,2,0,0.5,12,105.95937927980323,61,96.02973326128935,63,2297,8.945277690887451,19
Greedy,2,0.37,0,12,100.40641102842248,61,91.57706778354778,63,3610,12.947524547576904,19
Speedy,2,0.37,0.5,12,115.41422572811584,71,103.76002583602893,73,2799,14.328684091567993,19
Normal,2,0,0,12,92.3097448443752,51,84.28273852903538,53,1002,2.4487969875335693,19
Spaced,2,0,0.5,12,94.77845980034034,54,86.75655782446444,56,1934,6.74656343460083,19
Greedy,2,0.37,0,12,107.64682040590563,67,100.1482734780546,69,3033,10.540884733200073,19
Speedy,2,0.37,0.5,12,104.02958291541695,60,92.90115973360626,62,2386,11.984450340270996,19
Normal,2,0,0,12,107.35855605446444,58,95.11369704415101,60,845,2.0298075675964355,19
Spaced,2,0,0.5,12,97.84658042792884,54,87.48202228105814,56,1658,5.527206182479858,19
Greedy,2,0.37,0,12,111.38718517941074,58,105.22610466075213,60,856,2.483531951904297,19
Speedy,2,0.37,0.5,12,98.4963874109483,53,92.20705627430685,55,814,3.1305902004241943,19
