Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
Normal,2,0.0,0,12,50.70274602491166,27,46.54697448379429,29,469,0.3121194839477539
Normal,2,0.0,0,12,47.521521226759674,26,44.88974545753444,28,410,0.2625594139099121
Normal,2,0.0,0,12,53.23423410869527,28,47.25679569740347,30,735,0.55035400390625
Normal,2,0.0,0,12,48.729275047670264,26,43.49091380344516,28,92,0.041457176208496094
Normal,2,0.0,0,12,47.240931377462594,25,44.33125916249741,27,423,0.2533864974975586
Normal,2,0.0,0,12,48.54952569196944,26,45.751147472891134,28,94,0.04593014717102051
Normal,2,0.0,0,12,48.23459910343845,26,41.80804110556278,28,237,0.1322479248046875
Normal,2,0.0,0,12,47.99999999999999,25,46.09461441273718,27,75,0.03169059753417969
Normal,2,0.0,0,12,48.999559721592526,26,47.943184493725525,28,324,0.18591928482055664
Normal,2,0.0,0,12,48.0,25,44.9547515771692,27,127,0.06021308898925781
Normal,2,0.0,0,12,49.66014796778449,26,45.193670914583535,28,234,0.12562894821166992
Normal,2,0.0,0,12,48.42512427842495,29,44.007690113393565,31,1623,1.8033208847045898
Normal,2,0.0,0,12,47.65482225895179,26,44.72302163237706,28,210,0.13245725631713867
Normal,2,0.0,0,12,53.13479179031863,29,48.847048665515395,31,301,0.16605257987976074
Normal,2,0.0,0,12,46.85391999314767,25,44.107869669042934,27,92,0.039281606674194336
Normal,2,0.0,0,12,52.27241153572546,28,47.859577878026464,30,394,0.2369396686553955
Normal,2,0.0,0,12,46.0,24,43.483690465135325,26,109,0.04887723922729492
Normal,2,0.0,0,12,49.903158964641044,27,46.36083460494233,29,277,0.16168761253356934
Normal,2,0.0,0,12,52.39287719255891,28,48.8144624909986,30,129,0.06421136856079102
Normal,2,0.0,0,12,53.61520286641921,30,46.771226062218076,32,217,0.11523628234863281
Normal,2,0.0,0,12,45.33567114045284,24,42.550508775457764,26,280,0.15119433403015137
Normal,2,0.0,0,12,45.11293035973155,25,40.772236126602365,27,965,0.7788984775543213
Normal,2,0.0,0,12,48.00000000000001,25,45.0846922112107,27,71,0.032242774963378906
Normal,2,0.0,0,12,47.19514211913408,26,43.84911828006429,28,145,0.06833386421203613
Normal,2,0.0,0,12,47.99999999999999,25,43.34981491833242,27,90,0.04154515266418457
Normal,2,0.0,0,12,48.53893214371129,26,45.511596983943406,28,881,0.683373212814331
Normal,2,0.0,0,12,52.072609506192606,28,48.82003824261248,30,196,0.10437798500061035
Normal,2,0.0,0,12,44.66435504889877,25,42.20753381273027,27,238,0.12683510780334473
Normal,2,0.0,0,12,46.0,24,43.245867549855596,26,60,0.027442455291748047
Normal,2,0.0,0,12,45.99999999999999,24,43.58156710017407,26,104,0.04795265197753906
Normal,2,0.0,0,12,49.00202396618932,26,44.481534286044024,28,404,0.2564375400543213
Normal,2,0.0,0,12,47.30329801228917,27,43.61105762176893,29,494,0.31902265548706055
Normal,2,0.0,0,12,52.632009554605034,29,47.1909020183725,31,514,0.3371591567993164
Normal,2,0.0,0,12,54.00000000000001,28,49.55111312885494,30,80,0.034256935119628906
Normal,2,0.0,0,12,50.0,26,46.838856583665624,28,192,0.11610174179077148
Normal,2,0.0,0,12,53.0506720077421,28,48.23183741491342,30,116,0.055332183837890625
Normal,2,0.0,0,12,45.194667123454614,25,42.299933260675935,27,426,0.2677004337310791
Normal,2,0.0,0,12,54.00000000000001,28,50.791510173219365,30,55,0.0237429141998291
Normal,2,0.0,0,12,51.30127960647196,28,46.51556349728221,30,388,0.264937162399292
