Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
51.27285904955482,27,48.87858367510124,29,224,0.14002537727355957
48.643219443505714,26,44.79965637190728,28,104,0.04938626289367676
56.00000000000001,29,51.879034442612074,31,103,0.047708988189697266
43.0868238221775,23,40.74893746890524,25,457,0.295351505279541
53.641093771554836,30,49.499948757376096,32,318,0.20521140098571777
55.23249295938783,30,52.456413822949315,32,409,0.26418519020080566
47.67599198088973,25,44.352517610645464,27,82,0.03407549858093262
49.82340425571933,26,46.899131882415084,28,88,0.04092264175415039
45.09899751585459,24,43.035273428795065,26,157,0.07941460609436035
52.027602699958905,28,47.59853105817487,30,511,0.3323793411254883
43.700013677942664,24,42.0890699475984,26,542,0.3801448345184326
42.35669461720746,23,38.95695522092109,25,604,0.4266369342803955
48.0,25,42.610203628582646,27,115,0.054700613021850586
48.0,25,45.40077155512468,27,112,0.05493354797363281
47.230619692532294,26,44.153414069551786,28,123,0.05701756477355957
45.99999999999999,24,42.8102883140891,26,57,0.022177934646606445
46.00000000000001,24,43.271276007881454,26,64,0.02689981460571289
51.63783180250936,27,47.696297076459594,29,198,0.10882878303527832
48.390342011638424,26,43.91421557519881,28,144,0.09865570068359375
45.285147662633555,24,42.186875137918236,26,130,0.0696570873260498
46.32460097903825,25,43.56509840213251,27,128,0.06034207344055176
46.0,24,41.74544440674383,26,62,0.025455474853515625
50.58681481929512,27,47.25290791286258,29,93,0.040343523025512695
54.0,28,49.36559713093353,30,65,0.02573704719543457
45.72450530948881,24,41.9404311978575,26,141,0.06642031669616699
45.61769273876171,24,43.57729624373383,26,180,0.0878446102142334
46.534757214410746,26,44.19749093640155,28,501,0.3863847255706787
49.99999999999999,26,46.239701029775894,28,86,0.042511940002441406
45.99999999999999,24,42.662382394834104,26,178,0.1302042007446289
44.969968724254336,24,42.709673936602684,26,173,0.11094927787780762
41.14005046186841,22,39.16807599797579,24,226,0.13806939125061035
46.0,24,42.698686117678406,26,80,0.032099246978759766
48.000000000000014,25,42.810558397144675,27,135,0.06251239776611328
47.01731128352296,25,43.55914326027065,27,332,0.20475554466247559
47.14380606860225,25,44.5357087863194,27,117,0.06691813468933105
48.0,25,45.05868316438745,27,157,0.10630249977111816
45.999999999999986,24,42.69362384373711,26,71,0.030295133590698242
47.15841965091813,25,42.125649376400716,27,319,0.2007136344909668
43.36737832464766,23,39.332849210738736,25,69,0.03331804275512695
53.55316151911847,29,50.62853382956008,31,295,0.19794559478759766
48.870369812170765,26,43.628215222411555,28,177,0.09716272354125977
44.0,23,41.77236417570006,25,73,0.033469438552856445
51.728999502381555,27,49.285799931976705,29,240,0.12553620338439941
43.438010777866474,23,40.44006849651357,25,142,0.07153820991516113
48.00000000000001,25,45.75943326581662,27,65,0.03099822998046875
53.86421990076469,28,48.35777246418238,30,126,0.06255173683166504
44.0,23,39.48852071048031,25,71,0.033357858657836914
56.30365620136546,30,52.03714373987442,32,765,0.5838398933410645
48.63591365075893,26,46.276511924643145,28,217,0.12540769577026367
60.74715106321382,32,56.75726509525513,34,358,0.2362208366394043
42.00000000000001,22,40.08224864617617,24,102,0.04584860801696777
43.999999999999986,23,41.66078855381311,25,78,0.03524041175842285
47.85864206940065,25,44.96581454188443,27,94,0.04767775535583496
50.74163417223931,27,47.87899628685193,29,384,0.25127077102661133
50.27261391036271,27,44.90586500626746,29,213,0.11848282814025879
54.23836214765652,30,49.87086780622356,32,833,0.6482906341552734
43.83493168230129,23,40.97536425206585,25,69,0.03028106689453125
45.75656766379614,25,42.36558789638375,27,232,0.13100600242614746
44.6189951531851,24,41.0841753178849,26,1123,0.9902751445770264
44.0,23,40.33607010620369,25,209,0.10519981384277344
46.91232231329004,25,43.29202236848842,27,442,0.2986178398132324
46.0,24,43.059219855778,26,94,0.044458627700805664
47.99999999999999,25,46.25667069047932,27,94,0.04608273506164551
43.99999999999999,23,39.810661179007255,25,80,0.0347137451171875
44.365233159408255,24,42.499220248953435,26,239,0.14158105850219727
48.2335673515259,26,44.419965959927026,28,179,0.09466886520385742
46.01800382260507,25,43.264638530236645,27,316,0.1939079761505127
52.0,27,49.250618250916496,29,213,0.12220239639282227
51.03464626739943,28,46.31007312634679,30,330,0.19382810592651367
49.56971048284171,27,46.165711016456875,29,766,0.5680768489837646
54.0,28,50.256383318936074,30,54,0.0220644474029541
43.99999999999999,23,40.751639842087236,25,63,0.03785133361816406
42.9161139168094,23,41.31246367456429,25,360,0.25812697410583496
54.000000000000014,28,49.64320713778312,30,113,0.08554983139038086
42.66761325449131,23,40.14070167702885,25,104,0.05535459518432617
50.78800673835797,27,45.880704586904734,29,199,0.11160516738891602
50.32007905314404,28,47.323837553418336,30,650,0.47771501541137695
41.8186746739284,24,39.90518520499149,26,1231,1.1778595447540283
50.446774875862445,28,47.11068152665701,30,1171,1.0671100616455078
45.52909154824698,24,42.61063821277433,26,133,0.07824540138244629
48.889704805910604,26,44.90842330390524,28,358,0.22048020362854004
48.00000000000001,25,46.11229178215073,27,68,0.03269624710083008
49.291494851325886,26,43.454337753893306,28,136,0.06511235237121582
48.000000000000014,25,43.52436187875739,27,65,0.02812337875366211
